LegacyURL,Clicks,Position,Action,Category,NewURL_or_Target,RedirectType
/blog/what-is-canada-known-for/,7163,0,DELETE,blog-news-trivia,—,410
/move-from/move-to-canada-from-uk/,3052,0,KEEP,country-page,/move-to-canada/from-uk/,—
/move-from/move-to-canada-from-australia/,3044,0,KEEP,country-page,/move-to-canada/from-australia/,—
/edmonton/pros-and-cons-of-living-in-edmonton-alberta/,2530,0,CONSOLIDATE,city-relocation,/move-to-canada/edmonton/,301
/faqs/proof-of-work-experience/,2211,0,KEEP,faq,/faqs/proof-of-work-experience/,—
/move-from/life-in-canada-vs-france-comprehensive-comparison/,2151,0,KEEP,country-page,/move-to-canada/from-france/,—
/move-from/life-in-canada-vs-ireland-comparison/,1574,0,KEEP,country-page,/move-to-canada/from-ireland/,—
/resources/how-to-get-a-job-offer-in-canada-from-outside/,1472,0,KEEP,guide,/guides/how-to-get-a-job-offer-in-canada-from-outside/,—
/move-from/move-to-canada-from-ireland/,1384,0,KEEP,country-page,/move-to-canada/from-ireland/,—
/move-from/move-to-canada-from-germany/,1320,0,KEEP,country-page,/move-to-canada/from-germany/,—
/faqs/imm-5409/,1279,0,KEEP,faq,/faqs/imm-5409/,—
/blog/pgwp-extension-2024/,1248,0,CONSOLIDATE,blog-evergreen,/work/post-graduation-work-permit/,301
/move-from/move-to-canada-from-france/,1096,0,KEEP,country-page,/move-to-canada/from-france/,—
/faqs/how-to-verify-immigration-consultant/,1084,0,KEEP,faq,/faqs/how-to-verify-immigration-consultant/,—
/move-from/move-to-canada-from-italy/,1070,0,KEEP,country-page,/move-to-canada/from-italy/,—
/faqs/can-you-immigrate-to-canada-if-you-are-over-50/,1061,0,KEEP,faq,/faqs/can-you-immigrate-to-canada-if-you-are-over-50/,—
/move-from/move-to-canada-from-mexico/,1056,0,KEEP,country-page,/move-to-canada/from-mexico/,—
/move-from/move-to-canada-from-netherlands/,1041,0,KEEP,country-page,/move-to-canada/from-netherlands/,—
/move-from/life-in-canada-vs-new-zealand/,1020,0,KEEP,country-page,/move-to-canada/from-new-zealand/,—
/move-from/move-to-canada-from-sweden/,980,0,KEEP,country-page,/move-to-canada/from-sweden/,—
/faqs/what-is-the-lonely-canadian-rule/,958,0,KEEP,faq,/faqs/what-is-the-lonely-canadian-rule/,—
/move-from/move-to-canada-from-new-zealand/,908,0,KEEP,country-page,/move-to-canada/from-new-zealand/,—
/express-entry/express-entry-crs-score-calculator/,798,0,KEEP,tool,/tools/crs-calculator/,—
/labour-market-impact-assessment/low-wage-lmia/,796,0,KEEP,service,/work/lmia/low-wage/,—
/,753,0,KEEP,core,/,—
/edmonton/best-schools-in-edmonton/,740,0,DELETE,city-utility,—,410
/move-from/move-to-canada-from-japan/,702,0,KEEP,country-page,/move-to-canada/from-japan/,—
/move-from/move-to-canada-from-poland/,695,0,KEEP,country-page,/move-to-canada/from-poland/,—
/move-from/move-to-canada-from-portugal/,689,0,KEEP,country-page,/move-to-canada/from-portugal/,—
/vancouver/why-is-vancouver-so-expensive/,683,0,DELETE,city-utility,—,410
/vancouver/is-vancouver-a-good-place-to-live/,651,0,CONSOLIDATE,city-relocation,/move-to-canada/vancouver/,301
/faqs/can-i-leave-canada-after-applying-for-spousal-sponsorship/,646,0,KEEP,faq,/faqs/can-i-leave-canada-after-applying-for-spousal-sponsorship/,—
/faqs/sponsor-boyfriend-to-canada/,608,0,KEEP,faq,/faqs/sponsor-boyfriend-to-canada/,—
/vancouver/affordable-places-to-live-near-vancouver/,606,0,CONSOLIDATE,city-relocation,/move-to-canada/vancouver/,301
